transaction_id,store_id,timestamp,cashier_id,customer_id,items_count,total_amount,payment_method,duration_seconds,zone
TXN001,store_1,2024-01-15 09:05:23,staff_01,cust_101,3,450.50,upi,120,billing
TXN002,store_1,2024-01-15 09:18:45,staff_02,cust_102,1,89.00,cash,45,billing
TXN003,store_1,2024-01-15 09:32:10,staff_01,cust_103,5,1200.75,card,180,billing
TXN004,store_2,2024-01-15 09:45:00,staff_03,cust_201,2,320.00,upi,90,billing_area
TXN005,store_2,2024-01-15 10:02:33,staff_04,cust_202,4,780.25,card,150,billing_area
TXN006,store_1,2024-01-15 10:15:18,staff_01,cust_104,7,2100.00,card,240,billing
TXN007,store_1,2024-01-15 10:28:55,staff_02,cust_105,2,450.00,cash,100,billing
TXN008,store_2,2024-01-15 10:45:22,staff_03,cust_203,1,150.00,upi,60,billing_area
TXN009,store_1,2024-01-15 11:00:00,staff_01,cust_106,6,890.50,card,200,billing
TXN010,store_2,2024-01-15 11:12:45,staff_05,cust_204,3,560.00,cash,130,billing_area
TXN011,store_1,2024-01-15 11:30:10,staff_02,cust_107,2,200.00,upi,85,billing
TXN012,store_1,2024-01-15 11:45:33,staff_01,cust_108,8,3400.00,card,300,billing
TXN013,store_2,2024-01-15 12:00:00,staff_03,cust_205,5,1100.75,card,210,billing_area
TXN014,store_2,2024-01-15 12:18:22,staff_04,cust_206,1,75.00,cash,40,billing_area
TXN015,store_1,2024-01-15 12:30:55,staff_02,cust_109,4,670.00,upi,160,billing
TXN016,store_1,2024-01-15 13:00:00,staff_01,cust_110,3,550.25,card,140,billing
TXN017,store_2,2024-01-15 13:15:10,staff_05,cust_207,6,980.00,card,220,billing_area
TXN018,store_1,2024-01-15 13:45:33,staff_02,cust_111,2,310.00,cash,95,billing
TXN019,store_2,2024-01-15 14:00:00,staff_03,cust_208,4,720.50,upi,170,billing_area
TXN020,store_1,2024-01-15 14:20:45,staff_01,cust_112,9,4200.00,card,350,billing
TXN021,store_1,2024-01-15 14:50:18,staff_02,cust_113,1,120.00,cash,50,billing
TXN022,store_2,2024-01-15 15:05:33,staff_04,cust_209,7,1560.75,card,280,billing_area
TXN023,store_1,2024-01-15 15:30:00,staff_01,cust_114,5,890.00,upi,190,billing
TXN024,store_2,2024-01-15 15:45:22,staff_03,cust_210,2,340.00,cash,100,billing_area
TXN025,store_1,2024-01-15 16:00:10,staff_02,cust_115,3,480.50,card,130,billing
TXN026,store_2,2024-01-15 16:20:45,staff_05,cust_211,4,680.25,upi,155,billing_area
TXN027,store_1,2024-01-15 16:45:33,staff_01,cust_116,6,1100.00,card,210,billing
TXN028,store_2,2024-01-15 17:00:00,staff_03,cust_212,1,95.00,cash,45,billing_area
TXN029,store_1,2024-01-15 17:15:18,staff_02,cust_117,8,2800.75,card,320,billing
TXN030,store_1,2024-01-15 17:30:55,staff_01,cust_118,3,560.00,upi,145,billing
TXN031,store_2,2024-01-15 17:45:22,staff_04,cust_213,5,950.50,card,200,billing_area
TXN032,store_1,2024-01-15 18:00:10,staff_02,cust_119,2,280.00,cash,90,billing
TXN033,store_2,2024-01-15 18:15:33,staff_03,cust_214,7,1420.00,card,260,billing_area
TXN034,store_1,2024-01-15 18:30:00,staff_01,cust_120,4,720.25,upi,165,billing
TXN035,store_2,2024-01-15 18:45:45,staff_05,cust_215,3,510.75,cash,125,billing_area
TXN036,store_1,2024-01-15 19:00:18,staff_02,cust_121,10,5600.00,card,420,billing
TXN037,store_2,2024-01-15 19:20:33,staff_03,cust_216,2,180.00,upi,80,billing_area
TXN038,store_1,2024-01-15 19:45:00,staff_01,cust_122,6,1350.50,card,240,billing
TXN039,store_2,2024-01-15 20:00:22,staff_04,cust_217,4,870.00,cash,175,billing_area
TXN040,store_1,2024-01-15 20:15:10,staff_02,cust_123,3,430.25,upi,135,billing
